StockID,TradeVolume,Transaction,TradeValue,Open,Max,Min,Close,Change,date
0050,7527505,12258,889553151,118.95,119.05,117.85,118.1,-0.85,2023-03-20
0051,54091,161,3004569,55.3,55.75,55.3,55.6,0.2,2023-03-20
0052,182010,301,19229478,106.1,106.15,105.4,105.65,-0.6,2023-03-20
0053,14110,1010,831554,58.85,59.05,58.85,58.95,0.0,2023-03-20
0055,258280,479,5500399,21.44,21.44,21.21,21.26,-0.14,2023-03-20
0056,17688222,11992,490687081,27.77,27.81,27.7,27.76,0.0,2023-03-20
0057,3041,1001,260216,86.0,86.0,85.7,85.7,-0.25,2023-03-20
0061,125141,801,2364495,19.05,19.05,18.85,18.85,-0.24,2023-03-20
006203,4037,975,229279,57.25,57.25,56.9,56.9,-0.35,2023-03-20
006204,24565,989,1901955,77.75,77.75,77.3,77.45,-0.05,2023-03-20
006205,1026385,369,32484474,31.89,32.02,31.54,31.55,-0.47,2023-03-20
006206,548521,1249,16460187,30.14,30.15,29.95,30.01,-0.57,2023-03-20
006207,18216,14,450628,24.88,24.88,24.64,24.66,-0.39,2023-03-20
006208,3175888,5255,217134291,68.65,68.7,68.15,68.2,-0.35,2023-03-20
00625K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
00631L,2362161,1465,261187686,111.3,111.3,110.0,110.15,-0.85,2023-03-20
00632R,114520792,4008,615297305,5.35,5.39,5.35,5.38,0.01,2023-03-20
00633L,9210278,2609,346095643,37.74,37.96,37.29,37.29,-0.97,2023-03-20
00634R,494001,43,2232435,4.48,4.54,4.48,4.53,0.05,2023-03-20
00635U,2354494,856,59014132,25.04,25.13,25.01,25.12,0.58,2023-03-20
00636,1701472,1025,36123323,21.31,21.37,21.12,21.15,-0.34,2023-03-20
00636K,200,2,1386,6.93,6.93,6.93,6.93,-0.14,2023-03-20
00637L,95315943,12558,1411946469,14.88,14.96,14.68,14.68,-0.39,2023-03-20
00638R,1271000,56,12159790,9.51,9.6,9.51,9.59,0.11,2023-03-20
00639,956393,1193,12101472,12.79,12.79,12.63,12.64,-0.12,2023-03-20
00640L,647024,206,18093448,28.35,28.35,27.71,27.81,-0.7,2023-03-20
00641R,780250,103,7497439,9.56,9.67,9.56,9.65,0.14,2023-03-20
00642U,23122533,6397,328121482,14.28,14.33,14.06,14.07,-0.59,2023-03-20
00643,986491,474,14449468,14.65,14.69,14.56,14.66,-0.08,2023-03-20
00643K,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
00645,16486,829,425495,26.03,26.03,25.75,25.75,-0.29,2023-03-20
00646,1114364,841,41448360,37.34,37.35,37.11,37.15,-0.33,2023-03-20
00647L,359689,179,18290911,52.2,52.2,50.55,50.55,-1.25,2023-03-20
00648R,1856344,195,13725457,7.36,7.43,7.36,7.42,0.09,2023-03-20
00650L,18008803,2922,223681051,12.77,12.79,12.15,12.16,-0.72,2023-03-20
00651R,2762150,164,24030070,8.6,8.8,8.59,8.8,0.24,2023-03-20
00652,382848,365,10676068,28.02,28.03,27.72,27.8,-0.21,2023-03-20
00653L,576658,281,22391817,39.63,39.63,38.38,38.63,-0.63,2023-03-20
00654R,608000,49,5136530,8.39,8.5,8.39,8.47,0.08,2023-03-20
00655L,3150522,921,83591426,26.71,26.87,26.32,26.35,-0.68,2023-03-20
00656R,169500,19,1449660,8.55,8.56,8.53,8.56,0.11,2023-03-20
00657,102000,4,3286420,32.24,32.24,32.18,32.18,-0.36,2023-03-20
00657K,200,2,2104,10.52,10.52,10.52,10.52,-0.05,2023-03-20
00660,5006,995,147624,29.61,29.61,29.61,29.61,-0.62,2023-03-20
00661,3155,975,108591,34.67,34.67,34.54,34.54,-0.29,2023-03-20
00662,1427677,559,70535505,49.53,49.53,49.27,49.46,-0.15,2023-03-20
00663L,3000,3,306600,102.1,102.25,102.1,102.25,-0.05,2023-03-20
00664R,4906040,330,29783986,6.05,6.09,6.04,6.09,0.02,2023-03-20
00665L,35813092,3488,276314650,7.87,7.93,7.56,7.58,-0.37,2023-03-20
00666R,206000,59,3131220,14.94,15.28,14.94,15.27,0.34,2023-03-20
00668,54861,834,1944325,35.51,35.51,35.34,35.34,-0.46,2023-03-20
00668K,200,2,2314,11.57,11.57,11.57,11.57,-0.13,2023-03-20
00669R,10386251,591,86593398,8.31,8.38,8.3,8.37,0.1,2023-03-20
00670L,2509235,825,154751201,61.95,62.0,61.3,61.5,-0.7,2023-03-20
00671R,8108969,539,46831585,5.76,5.8,5.76,5.79,0.04,2023-03-20
00673R,24996767,2147,253586134,10.09,10.24,10.04,10.24,0.43,2023-03-20
00674R,3280989,576,39407545,12.01,12.04,11.98,12.0,-0.27,2023-03-20
00675L,548102,390,24384873,44.73,44.75,44.26,44.42,-0.16,2023-03-20
00676R,6290730,323,20965465,3.32,3.35,3.32,3.33,0.0,2023-03-20
00678,348596,728,8623241,24.75,24.75,24.71,24.74,-0.22,2023-03-20
00680L,18177506,2465,223623117,12.13,12.41,12.11,12.37,0.27,2023-03-20
00681R,169000,61,2991670,17.76,17.82,17.64,17.64,-0.19,2023-03-20
00682U,95012,24,1958567,20.6,20.64,20.6,20.64,-0.04,2023-03-20
00683L,638200,181,13890298,21.73,21.8,21.72,21.77,-0.11,2023-03-20
00684R,0,0,0,0.0,0.0,0.0,0.0,0.0,2023-03-20
00685L,133545,73,5259398,39.55,39.63,39.25,39.39,-0.11,2023-03-20
00686R,54000,13,195490,3.6,3.63,3.6,3.63,0.02,2023-03-20
00688L,2823000,446,34357090,12.04,12.31,12.03,12.3,0.27,2023-03-20
00689R,52000,17,953650,18.52,18.52,18.28,18.28,-0.21,2023-03-20
